Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1464,Jekail Middlebrook,Middle Tennessee State,CUSA,4,4,31,7.8,0,7.8,18,85,4.7,2,21.3,22,116,5.3,2,
1465,KD Dorsey*,Georgia Southern,Sun Belt,8,5,31,6.2,0,3.9,1,0,0,0,0,6,31,5.2,0,
1466,Luca Caldarella*,Utah,Pac-12,13,3,31,10.3,0,2.4,0,0,,0,0,3,31,10.3,0,
1467,Marquis Montgomery*,California,Pac-12,11,3,31,10.3,0,2.8,0,0,,0,0,3,31,10.3,0,
1468,Nathan Bax,Arkansas,SEC,11,5,31,6.2,0,2.8,0,0,,0,0,5,31,6.2,0,
1469,Payton Mangrum,South Carolina,SEC,12,2,31,15.5,0,2.6,0,0,,0,0,2,31,15.5,0,
1470,Sean Brown,Charlotte,American,11,3,31,10.3,0,2.8,0,0,,0,0,3,31,10.3,0,
1471,Tanaka Scott*,Kansas,Big 12,9,3,31,10.3,0,3.4,0,0,,0,0,3,31,10.3,0,
1472,Tyler Savage,East Carolina,American,7,6,31,5.2,0,4.4,0,0,,0,0,6,31,5.2,0,
1473,Vaughn Pemberton,Ball State,MAC,6,7,31,4.4,1,5.2,23,139,6,1,23.2,30,170,5.7,2,
1474,Blake Smith*,Oklahoma,Big 12,10,2,30,15,1,3,0,0,,0,0,2,30,15,1,
1475,Dan Dishman*,UTSA,American,5,3,30,10,0,6,0,0,,0,0,3,30,10,0,
1476,David Mbadinga*,Georgia Southern,Sun Belt,11,6,30,5,0,2.7,22,112,5.1,2,10.2,28,142,5.1,2,
1477,Desirrio Riles,East Carolina,American,11,9,30,3.3,0,2.7,0,0,,0,0,9,30,3.3,0,
1478,Deuce Alexander,Wake Forest,ACC,2,2,30,15,1,15,0,0,,0,0,2,30,15,1,
1479,Ja'Corey Brooks*,Alabama,SEC,9,3,30,10,0,3.3,0,0,,0,0,3,30,10,0,
1480,Jake Boust*,Fresno State,MWC,13,4,30,7.5,1,2.3,0,0,,0,0,4,30,7.5,1,
1481,Jayden York*,Texas Tech,Big 12,12,3,30,10,1,2.5,0,0,,0,0,3,30,10,1,
1482,Josh McCray,Illinois,Big Ten,5,6,30,5,0,6,43,156,3.6,2,31.2,49,186,3.8,2,
1483,Kade Zimmerman,New Mexico,MWC,4,1,30,30,0,7.5,0,0,,0,0,1,30,30,0,
1484,Micah Bernard*,Utah,Pac-12,2,5,30,6,0,15,16,76,4.8,1,38,21,106,5,1,
1485,Quincy Burroughs*,Wisconsin,Big Ten,13,4,30,7.5,0,2.3,0,0,,0,0,4,30,7.5,0,
1486,Rashid Williams*,Washington,Pac-12,2,2,30,15,0,15,0,0,,0,0,2,30,15,0,
1487,Rocko Griffin*,UTSA,American,12,9,30,3.3,0,2.5,91,483,5.3,6,40.3,100,513,5.1,6,
1488,Andrew Sowinski,Purdue,Big Ten,6,3,29,9.7,0,4.8,0,0,,0,0,3,29,9.7,0,
1489,Hayden Reed,Army,Ind,9,4,29,7.3,0,3.2,50,205,4.1,2,22.8,54,234,4.3,2,
1490,Jackson Sumlin,Florida Atlantic,American,8,4,29,7.3,0,3.6,0,0,,0,0,4,29,7.3,0,
1491,Matt Salerno*,Notre Dame,Ind,5,2,29,14.5,0,5.8,0,0,,0,0,2,29,14.5,0,
1492,Samuel Brown V*,Rutgers,Big Ten,12,2,29,14.5,0,2.4,63,216,3.4,2,18,65,245,3.8,2,
1493,Treyv'on Culbert*,Louisiana,Sun Belt,8,4,29,7.3,1,3.6,0,0,,0,0,4,29,7.3,1,
1494,Wyatt Sullivan,Florida Atlantic,American,8,5,29,5.8,0,3.6,0,0,,0,0,5,29,5.8,0,
1495,Calvin Hill*,Texas State,Sun Belt,7,4,28,7,0,4,31,98,3.2,0,14,35,126,3.6,0,
